TIC_ID,START_DATE,END_DATE,NUM_OBS
TIC_206605715,2061.9017686728407,2070.560308276229,6138
TIC_206605715,2075.161780605378,2083.6062594466243,5925
TIC_206605718,2061.857323255641,2070.6894777810435,6168
TIC_206605718,2075.161781026336,2083.845148343969,6042
TIC_209291266,1601.3485537176298,1609.6986702407212,5945
TIC_209291266,1615.8917351198716,1623.8958659744171,5699
TIC_209291266,2333.8594068833772,2360.555198171001,18418
TIC_213009118,1385.954178017507,1406.2193039215945,12895
TIC_213009118,2115.8913240282764,2141.910473456536,15977
TIC_213240679,1628.4948317407975,1639.0006043428466,7215
TIC_213240679,1643.0714616310113,1652.8964648010199,6988
TIC_213240679,2361.7765515327605,2389.6141369752186,18211
TIC_217182385,1628.5311815438408,1639.0008746163833,7248
TIC_217182385,1643.1675748530768,1652.8967632573087,6959
TIC_219258986,1385.9498961765528,1406.215485866593,12862
TIC_219258986,1410.9044105144192,1463.6749095349148,31495
TIC_219258986,2115.8870570533263,2141.5290886409693,16076
TIC_219258986,2174.2304459958964,2200.1008428999166,17481
TIC_219290316,1657.026090817743,1682.361266319118,16963
TIC_219290316,2036.283224635468,2060.645731676997,16763
TIC_219993473,1354.1108863346456,1381.5166938551888,18117
TIC_219993473,1385.9514006647464,1406.2163804876282,12768
TIC_219993473,2088.2425708919404,2141.899247357912,31892
TIC_220617943,1438.1380472120914,1463.6452278691754,17090
TIC_220617943,1468.2743939100808,1490.0463741786969,14479
TIC_220617943,2201.7351639089115,2227.5736818944047,17431
TIC_221355243,1629.2327537446631,1639.0008705045466,6673
TIC_221355243,1643.9855468898404,1652.8965239902468,6312
TIC_221355243,2361.77693182292,2389.704382178416,18555
TIC_22507789,1571.3818140609,1595.6848174369861,14814
TIC_229945262,1683.3544811125182,1718.4672155393341,22841
TIC_229945262,1724.9422403423446,1732.5769584195739,5393
TIC_229945262,1738.6547391240435,1746.743596993034,5735
TIC_229945262,1751.6574738204092,1760.6671335968115,6432
TIC_229945262,1764.6851622552624,1897.7794034130843,78737
TIC_229945262,1930.1738284529763,2035.1347107693714,66256
TIC_229945262,2390.653869238651,2446.579389925092,37569
TIC_229945262,2581.596186676733,2606.930618890317,15456
TIC_229945262,2611.0833515891823,2621.6263367418537,7523
TIC_229945262,2626.201302808909,2635.984605922259,7021
TIC_229945262,2641.1790314118343,2650.4429268558433,6645
TIC_229945262,2656.0901500339364,2665.5485240041253,6107
