TIC_ID,TLS_PER,SDE
TIC_77951245,10.713579843155449,31.174576518504065
TIC_220617943,0.5838551619216257,16.21639261232586
TIC_444536794,2.0872801611945975,6.046118163047754
TIC_438627800,1.0114910570534634,8.326493172912283
TIC_169385570,3.6360615113615435,5.860834385043833
TIC_144667802,0.7878437029729111,8.103794100747828
TIC_255236579,0.6035501535463863,10.34864318049965
TIC_364200072,1.5234082799841033,5.962950525538316
TIC_348555880,9.800475824713372,8.491869752910116
TIC_399020708,0.8875990536563138,6.935134619782453
TIC_372918535,0.6258974601619742,6.521879971881528
TIC_90723908,1.6127838155671588,7.316002240817723
TIC_411874804,0.5495753456454793,11.260643419693283
TIC_309028466,3.8693843590499757,8.750131414768614
TIC_68565222,3.4472040656463254,6.881139783969902
TIC_378413560,0.8047639574705535,16.151591064084275
TIC_322275995,0.7386560280327152,5.69948534297758
TIC_264599508,0.7502289596125425,10.235004476414291
TIC_83211097,1.814924337225853,5.371435526685726
TIC_48364505,1.934981044527735,4.990479085997881
TIC_245339150,1.5570836731845743,4.704820150443186
TIC_91853165,1.007507468569557,9.187895765402493
TIC_221355243,0.5027815553740204,5.619479658052248
TIC_99135067,4.376603488311153,9.356786342719285
TIC_333734230,0.6880575792444844,6.426324582722778
TIC_11568422,1.638149810498153,9.111300108541675
TIC_424881692,2.723070541878491,20.61550669476468
TIC_93242288,0.8178973024872238,9.471868548145471
TIC_142391477,8.185449704594161,11.1298494791481
TIC_203036339,0.5075240793680176,9.282248191039097
TIC_165909066,1.801506737571307,10.851773876914233
TIC_339308290,6.004804418286745,6.7972746787965646
TIC_251845153,4.009305080114177,7.963223744072293
TIC_290674357,1.3534754867013479,8.605406982901755
TIC_119855395,9.041541891059493,9.019138423333956
TIC_370825476,0.5807843954989924,17.29131865789698
TIC_186779497,6.932566672633128,5.561687272408542
TIC_17399504,1.8425574399118418,6.116649833802012
TIC_197884260,4.611383045464358,7.122656202185765
TIC_355794672,0.7229574665766394,14.192794958958256
TIC_47590073,10.657738359755708,7.332283840862453
TIC_349005337,1.3040569763445764,53.373856609655945
TIC_140031179,3.672630684619056,28.068851550339737
TIC_334524122,6.5108292473991565,5.420156520016586
TIC_467368706,7.899777846619219,6.951271877328877
TIC_241683370,0.8926943222225482,20.231796180877424
TIC_20090694,1.393757364565616,6.278828252962047
TIC_155657581,0.5521358421855481,34.33812682494787
TIC_71374255,0.835374801879892,7.619615994395832
TIC_97882429,6.948623224112966,5.626664586880127
TIC_393794445,3.7397873057650663,22.553049576124412
