Unnamed: 0,TIC_ID,INJECTED_PER,INJECTED_T0
98,TIC_264599508,10.670741556620118,1492.21337765054
99,TIC_950715112,14.083342922838414,2420.114991693845
100,TIC_83211097,13.09982869676967,1601.7549893865023
101,TIC_48364505,7.183458163984627,1601.8338189864485
102,TIC_245339150,11.479310489079866,1601.8415646527765
103,TIC_91853165,12.297931250484815,1658.319264144876
104,TIC_221355243,13.868755845923785,1629.5386527010585
105,TIC_99135067,4.377674777171929,1842.708141567674
106,TIC_333734230,9.213874701588606,1545.088523734411
107,TIC_11568422,13.52035379989126,2116.35125470038
108,TIC_424881692,2.7231398997336926,1658.2370039540242
109,TIC_93242288,2.5407701731045527,1468.8814303706674
110,TIC_142391477,8.188875657835556,1571.9976427975932
111,TIC_159580128,9.240206424899924,1712.4878449248265
112,TIC_307255082,7.081720389188113,1571.2828374413953
113,TIC_203036339,11.056233516246891,1790.8176747538005
114,TIC_165909066,10.802179991513064,1572.448639445454
115,TIC_339308290,4.836954609425524,1601.9372453963374
116,TIC_251845153,4.012837109235259,1354.1391626179493
117,TIC_290674357,4.562745456080926,1572.460749014311
