TIC_ID,clean_num_obs,no_flare_num_obs,raw_num_obs,no_flare_sigma,no_flare_diff_sigma,cdpp,top_ls_period,top_ls_power,fap_95,top_ls_period_sub_harmonic,top_ls_period_harmonic,second_ls_period,third_ls_period,fourth_ls_period,fifth_ls_period,second_ls_power,third_ls_power,fourth_ls_power,fifth_ls_power,ab,mass,mass_min,mass_max,radius,radius_min,radius_max,num_sectors
TIC_438627800,46069,46118,46155,0.012362443685795723,0.009555737514227173,1685.1635558276469 ppm,1.012256426132708,0.518893671255285,0.0,0.506128213066354,2.024512852265416,1.0109085727448348,1.0136078785289826,1.0152343924244753,1.01659381355669,0.507388466409393,0.4979229879786505,0.4928773745176787,0.4774608932926843,"(0.171,0.4514)",0.636867,0.0203872,0.0203872,0.663116,0.0199027,0.0199027,2
TIC_327873544,16675,16678,16783,0.006128431992195512,0.00818804183529748,1525.3747009265537 ppm,0.6562555430749792,0.026911920867325346,1.7009305704298435e-180,0.3281277715374896,1.3125110861499585,0.6597217998182966,0.6528255202043673,0.6632248676308583,0.6494311660144124,0.024608512558813755,0.022627664821431668,0.01679489577608336,0.014302706361035776,"(0.1533,0.4776)",0.448464,0.0203069,0.0203069,0.451789,0.0134666,0.0134666,1
TIC_460844584,29657,29698,29931,0.011819262190158959,0.00973196391839422,1847.7042807083603 ppm,0.7979648502778627,0.4757510440957986,0.0,0.39898242513893134,1.5959297005557254,0.797127015324456,0.7988044483279594,0.7962909379199963,0.7996458150458629,0.4751095094761002,0.4641052560724199,0.4621427838670323,0.4410261761318777,"(0.1533,0.4776)",0.479461,0.0205924,0.0205924,0.481484,0.0147221,0.0147221,2
TIC_443480340,24361,24421,30190,0.016813512476335307,0.004661126300080107,884.0014795421257 ppm,4.822999718290099,0.8921069048816979,2.8185512088820146e-266,2.4114998591450494,9.645999436580198,4.853834597231043,4.792554134782117,4.885066286294835,4.762490520575322,0.8915167845113298,0.867612029859247,0.8652102589337545,0.8204929823410432,"(0.3809,0.2823)",0.57,0.0860689,0.0860689,0.989955,0.119121,0.119121,2
TIC_123027358,28986,28997,29131,0.0039018648539950475,0.004995326429354615,891.9645662957713 ppm,1.4832495894754256,0.053582519480590854,2.0030207e-317,0.7416247947377128,2.9664991789508512,1.4745649158667602,1.492037168565064,1.4659813506749402,1.4574971384371143,0.052773896951615704,0.04207700910418453,0.040906797278235964,0.02439940791722702,"(0.1606,0.4974)",0.402408,0.0202917,0.0202917,0.409719,0.0122303,0.0122303,1
TIC_82525365,13194,13196,13255,0.002875401775050253,0.0039591366309980275,650.655792940345 ppm,6.644944158350667,0.018254684213199004,8.024925646675905e-142,3.3224720791753337,13.289888316701335,6.294346703709378,7.036902232375494,5.9788912243435055,4.780870350148936,0.01814899723648345,0.012731152605916377,0.012018602018843569,0.00981565224537801,"(0.1959,0.4178)",0.622845,0.0202107,0.0202107,0.644311,0.0190147,0.0190147,1
TIC_303048907,26767,26779,26880,0.009262373706601002,0.011775136989260051,2079.366296147093 ppm,0.2794198129145824,0.09793937464765837,1.131559161602343e-292,0.1397099064572912,0.5588396258291648,0.27912399814159583,0.2797162553599862,0.2788288090496314,0.280013327477662,0.09518336551207499,0.07396256251485538,0.06757679417732045,0.03857703213273388,"(0.1693,0.5023)",0.463882,0.0203557,0.0203557,0.466393,0.0139583,0.0139583,1
TIC_57151431,19406,19840,30990,0.03350605734799373,0.0020308678684721575,535.5784353745688 ppm,5.542654272550813,0.7930949730054626,2.1175328223717474e-215,2.7713271362754064,11.085308545101626,5.584874970746599,5.5010671471467525,5.627743831430685,5.724411673994697,0.7879136979262241,0.7700083690667162,0.7559524611251417,0.7503777085900959,"(0.3809,0.2823)",0.59,0.0817779,0.0817779,1.06519,0.125322,0.125322,2
TIC_49954689,17172,17173,17185,0.0248167321822524,0.0048685777477618,1165.6458048183904 ppm,0.6814395125291345,0.8137099039093415,5.4893008289867696e-186,0.34071975626456724,1.362879025058269,0.6850929744262906,0.6778248102774155,0.6887858227458186,0.6742482541230027,0.752124598872959,0.6596868049546495,0.5148337440574581,0.38145298414075307,"(0.1819,0.4364)",0.638027,0.0203673,0.0203673,0.664693,0.0199118,0.0199118,1
TIC_258908663,20393,20484,27440,0.024112630564988528,0.004964279989781482,1052.0278862002153 ppm,6.059408833419632,0.509750008139506,1.4678922924000468e-222,3.029704416709816,12.118817666839265,6.110131383722282,6.009521484579884,6.16171028664112,5.855260406522647,0.5067513561607317,0.5019789508727486,0.49447501141134637,0.4853555998993798,"(0.2315,0.3808)",0.56,0.0868656,0.0868656,0.875618,0.105993,0.105993,2
TIC_133974737,42786,42840,43167,0.01941966290465457,0.01622999066371957,4621.2898489884665 ppm,0.2908218062522961,0.14774935208255652,0.0,0.14541090312614804,0.5816436125045922,0.2909291302163345,0.29071456144283153,0.29103653342261204,0.2906073957004049,0.14415327653756643,0.1431870317745641,0.1329278004529594,0.1310438269470717,"(0.1606,0.4974)",0.445651,0.0206161,0.0206161,0.449157,0.0137961,0.0137961,2
