GDR2_1296802913319286272,TIC_28347350
GDR2_1296992750873488896,TIC_28313730
GDR2_1297279689049370752,TIC_356084623
GDR2_1297326280855154560,TIC_307954245
GDR2_1298161669173657472,TIC_341738055
GDR2_1299656936268391296,TIC_349379187
GDR2_1299829697032870784,TIC_458519599
GDR2_1300980576469532288,TIC_458519815
GDR2_1301271053697695232,TIC_320419681
GDR2_1301494185838249984,TIC_320389125
GDR2_130178916852777728,TIC_77421903
GDR2_1301976283031244544,TIC_232566192
GDR2_1302280130493952640,TIC_219748297
GDR2_1302572634946686720,TIC_310232405
GDR2_130351299659569664,TIC_77269454
GDR2_1303879095278083840,TIC_311265210
GDR2_1304383358798817536,TIC_310335256
GDR2_1304676790963952384,TIC_310263660
GDR2_1304895903015693824,TIC_458513834
GDR2_13049901647380864,TIC_416680081
GDR2_1305519802848685696,TIC_311298395
GDR2_1306476347901592448,TIC_458549441
GDR2_1306480814667725312,TIC_458549396
GDR2_1306640106415009664,TIC_236742955
GDR2_1308065722022395264,TIC_258246185
GDR2_1308955403024887168,TIC_257306185
GDR2_1308977496336756224,TIC_257397444
GDR2_1314969044433827968,TIC_159291293
GDR2_1316267017910583680,TIC_462607436
GDR2_1316299586646438016,TIC_236314117
GDR2_131671606963374080,TIC_286357640
GDR2_1317471086221767296,TIC_309904103
GDR2_1317998473846104704,TIC_159228585
GDR2_1318145911483266432,TIC_8499168
GDR2_1319407635436017920,TIC_17566113
GDR2_1319657533813690368,TIC_284356814
GDR2_1319861355781353088,TIC_284353575
GDR2_1321013300370025344,TIC_334751536
GDR2_1321250760521592064,TIC_188576956
GDR2_1321526256903321344,TIC_376665596
GDR2_1322293406782658176,TIC_17433102
GDR2_1322516264044952960,TIC_17564852
GDR2_1323624434327126528,TIC_17405009
GDR2_1324565822438930560,TIC_8543493
GDR2_1324876778071354496,TIC_57103817
GDR2_1325062183219857920,TIC_8673343
GDR2_1325179006330507136,TIC_57009616
GDR2_1325560914822288768,TIC_17653607
GDR2_1325939490419320960,TIC_8672877
GDR2_13261179678629376,TIC_416676208
GDR2_1326514943020898816,TIC_224330984
GDR2_132696489239275776,TIC_285350338
GDR2_132804516256992256,TIC_285346817
GDR2_1328294850484023680,TIC_68900459
GDR2_1328362126851820544,TIC_68875628
GDR2_1328493930808259968,TIC_68936646
GDR2_1329108214210800640,TIC_17617064
GDR2_132928554912393088,TIC_73568432
GDR2_1329503866598232960,TIC_8309189
GDR2_1330207244802596864,TIC_310561420
GDR2_133033008517191296,TIC_77222619
GDR2_1330658422526919168,TIC_39825289
GDR2_1330659418959339648,TIC_39825298
GDR2_133093752239033856,TIC_73636465
GDR2_1331045278820996992,TIC_255931655
GDR2_1331949691557939840,TIC_39949500
GDR2_1332047930346644224,TIC_39949706
GDR2_1332054286898249088,TIC_39949725
GDR2_1332628128888902528,TIC_255928996
GDR2_1332713650277500032,TIC_255933581
GDR2_133277203177683328,TIC_73523696
GDR2_1333316251369177088,TIC_9587062
GDR2_1333316487590778368,TIC_9587082
GDR2_1334028494386373504,TIC_9623976
GDR2_1334035606852115840,TIC_9588485
GDR2_1334167479527588352,TIC_9731507
GDR2_133523356346554496,TIC_77222044
GDR2_133571597416848000,TIC_77352829
GDR2_1335760976818215936,TIC_39269009
GDR2_1336031735852228608,TIC_39573102
GDR2_1336116741845010560,TIC_39517474
GDR2_1336178555014004608,TIC_39392694
GDR2_1336625089877864064,TIC_9879620
GDR2_1336726317963031424,TIC_9591515
GDR2_1336730028814791936,TIC_9590146
GDR2_1336767755807670656,TIC_9625403
GDR2_1336891897542221056,TIC_101764321
GDR2_1337049363926639744,TIC_88765011
GDR2_1337550986043888384,TIC_101927607
GDR2_1337971411803654400,TIC_21625685
GDR2_1338724920866602496,TIC_159409442
GDR2_1338881085876115584,TIC_21682264
GDR2_1339823603562906880,TIC_9530924
GDR2_1340080034586289024,TIC_101716784
GDR2_1340708439841100672,TIC_101676769
GDR2_1340752798263487104,TIC_85602828
GDR2_1340787398519934720,TIC_101674473
GDR2_1341116736611981056,TIC_85512629
GDR2_1341351722863062016,TIC_82612984
GDR2_1342162539673542912,TIC_88936866
GDR2_1342809293028933120,TIC_116021884
GDR2_1342821082715332352,TIC_116124055
GDR2_1343040504004117504,TIC_157449444
GDR2_134308442005493632,TIC_286317307
GDR2_1343376439165615488,TIC_88995087
GDR2_1343585346375230080,TIC_88763731
GDR2_1344057277381568000,TIC_88938791
GDR2_1344165544917529216,TIC_88992668
GDR2_1344175337442862336,TIC_88934020
GDR2_134480549935772416,TIC_286241852
GDR2_1344986639585206784,TIC_159740224
GDR2_1346966958810011136,TIC_101829038
GDR2_13476512158950784,TIC_416716872
GDR2_1348078535001865856,TIC_85598910
GDR2_1348315788995210880,TIC_270280972
GDR2_1349116508337952768,TIC_270453829
GDR2_1349394719139538560,TIC_193717878
GDR2_1351217881216990976,TIC_459288019
GDR2_1351353018068190336,TIC_72810428
GDR2_1351539110411102208,TIC_72771744
GDR2_1351850920740990720,TIC_82456343
GDR2_1352501835920415104,TIC_57231117
GDR2_1352679613207023872,TIC_57332272
GDR2_135269758765934464,TIC_270008772
GDR2_1352739570950374144,TIC_57257219
GDR2_1353150135463926656,TIC_57331996
GDR2_1353172434934201088,TIC_43273192
