TIC_ID,GDR2_RA,GDR2_DEC,NUM_OBS
268862481,34.2288,-23.3704,29527
269077806,75.4862,1.1449,34235
269919096,194.8266,-0.178,16553
270623499,87.0415,-52.184,155843
274801993,7.736,77.0193,67417
276453848,228.481,-39.6875,29596
277725683,321.0928,49.1203,27466
278731274,99.528,-56.0814,353304
279640409,85.7329,-7.3108,14582
280675564,172.991,-68.9218,62340
280945693,174.0697,-69.4643,46836
281573523,7.456,-54.694,45878
281757097,186.2998,-67.3625,47462
284865356,120.1662,31.2502,48648
287132854,295.042,58.35,99789
287354092,122.6512,-74.9698,200867
288354068,63.692,38.2675,16761
289840926,317.6294,-27.1813,31846
289840928,317.6315,-27.1831,31847
290674357,174.093,-60.8874,63207
291074569,177.9862,7.5237,63082
294159330,107.9896,-55.9391,198388
294328887,108.9785,-59.3415,150141
294993587,239.582,-50.4863,32921
297855749,239.8085,-51.79,33679
29853348,23.8084,-7.2145,28624
300866996,117.2297,-67.3598,386404
301048970,238.8001,-37.1366,13180
302417238,81.9336,14.7661,65539
302769205,50.9135,5.6873,31082
302904748,83.274,14.01,48456
303048907,155.1553,-71.0902,26847
305535780,138.9045,-13.3374,13606
306779230,121.4284,-71.1907,391451
306927574,122.7996,-66.9443,201483
307255082,179.873,-60.6852,61770
307757953,112.7553,46.0069,33075
308186412,130.5035,-71.2225,123492
308245136,51.6546,-38.8378,48253
309028466,151.202,-26.3404,15573
309252516,123.9202,-63.9943,135010
309299238,124.4985,-64.3521,151425
309617141,78.8885,-61.389,361355
311091687,54.2752,5.4854,16223
311092148,54.1707,3.4882,16215
312185848,141.0986,6.378,30721
312617534,210.9064,-50.18,30191
316295827,203.466,-65.1426,11700
318886387,42.0703,5.6181,43599
319739812,291.9468,-54.0286,33898
321805583,206.0307,-64.2102,30159
322275995,278.4995,28.9005,31383
32545814,84.7121,-29.6822,66846
326538701,188.3531,-68.8154,11692
327039106,188.8135,-70.7189,26001
327873544,77.1352,49.141,16773
328480578,190.7321,-70.5725,26023
332213483,215.4629,-49.0775,30189
333734230,170.1959,-27.635,31292
334524122,225.3193,-43.6585,29885
335370623,194.5726,-69.1061,26020
335836484,195.0186,-69.439,44492
336741253,334.8979,61.3393,48524
337147104,196.8231,-68.7363,26020
337359464,197.1275,-68.747,44521
337757672,274.6475,-37.1707,17218
338091463,252.9936,-38.7251,14333
339308290,199.9865,-68.5206,44535
339397736,295.7912,-60.2829,32193
340221485,201.1461,-70.3407,44469
341448790,203.0483,-71.7941,63791
343648067,272.279,-76.224,36539
344552743,321.961,-68.6846,30746
344660641,15.0611,5.8652,12964
345135733,177.0986,-37.4802,31051
345324572,355.4766,59.8768,30590
345395031,50.0026,10.5461,16227
348555880,254.3344,-53.7258,14335
349005337,69.0361,27.5554,29896
35001854,224.6979,-58.2731,44428
350712873,88.2042,-59.4854,325160
350768519,245.9447,-39.0338,14336
351680104,275.0655,44.598,19576
355373774,131.083,-61.9784,87052
355794672,132.2039,-63.1263,84717
357105141,180.5145,-78.8837,26048
359766629,185.1502,-73.8842,63871
359892714,185.702,-74.1724,63858
360130454,141.6836,-63.0232,74404
360205899,142.097,-64.2485,77682
360779428,142.993,-62.1571,63042
360914079,310.5678,-55.8691,16781
36124955,149.646,-46.4272,31178
363265095,248.5788,-69.1535,13205
363782768,267.1406,-53.1035,17195
364017175,251.1262,-67.7937,14204
364200072,239.0141,-36.7322,13285
365637508,81.3856,6.4259,31744
366011855,221.8463,-50.7121,11682
367180237,83.0012,21.8656,48239
36762220,41.2847,-7.1368,30926
367843143,66.0899,37.1055,16693
367844330,66.1019,36.2218,16709
368723998,220.3078,-33.4991,29904
369394619,12.1114,-18.7892,28657
369743686,192.2197,-64.7697,30184
369743688,192.1994,-64.77,11690
370705545,144.3896,-67.9111,27098
370825476,145.1523,-67.7546,27135
372515585,151.3447,-71.6163,75491
372515598,151.3557,-71.6244,41147
372918535,65.8635,11.2547,31568
375565862,178.5723,-54.0614,29660
375729536,178.736,-59.9466,46110
376926030,284.4875,77.0505,292559
378413560,155.3144,-62.4345,27366
37904598,66.1782,-6.792,34481
381377851,182.5056,-62.4453,47463
382147080,80.5234,-55.8261,193667
382248311,286.5625,-68.5768,17203
382543452,243.0918,-40.2147,32212
384950919,137.1558,-58.531,76784
385504478,71.0721,22.2743,31332
387720293,78.7113,22.3386,32420
388814426,18.362,0.0188,55832
388835414,173.2415,6.8905,33142
388966496,343.2842,54.1325,28267
388978401,57.7536,14.2274,43915
393794445,81.055,-21.0786,48951
394137224,4.3492,-66.7535,32588
395052612,167.4973,-83.3626,65526
395130640,169.2351,-80.4644,63669
396731889,66.0043,-55.2062,128247
399020708,198.3801,-53.2478,11698
400331058,166.0989,-69.8227,61932
