tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 405514195,11677,11677,11701,0.238,0.020651613948544176,5.712002453086086e-125
TIC 67568168,14620,14644,14686,0.713,0.7413192612404519,6.5217957666289566e-158
TIC 156364508,12715,13032,16872,4.269,0.7254443225513585,4.89386184398225e-140
TIC 142391477,34370,34485,29427,5.438,0.8400673414411695,1.9673370274353756e-245
TIC 91853165,17205,17205,17207,0.504,0.9092909253430123,2.3995917472563266e-186
TIC 251845156,44742,45158,33095,5.074,0.2369349673786743,0.0
TIC 144282456,16417,16417,16481,0.299,0.8322720853500756,1.3954506212558677e-177
TIC 303048907,41892,41906,26880,0.279,0.09793937464766338,1.131559161602343e-292
TIC 360914079,16559,16592,16781,12.036,0.4042807402385442,1.5361966082872086e-179
TIC 455029978,16929,17053,17205,0.887,0.6766679369986099,1.1785823680698232e-184
TIC 408411330,11143,11155,11226,4.898,0.04099611468386019,3.517376894792961e-119
TIC 363265095,13000,13094,13205,1.234,0.8681648486740778,1.080596188634843e-140
TIC 454196756,51235,51252,34244,0.571,0.34308493495678105,0.0
TIC 311092148,16132,16132,16215,0.327,0.49234507741560896,2.027067966869808e-174
TIC 123027358,45265,45282,29131,1.483,0.053582519480587086,2.0030207e-317
TIC 388978401,83130,83840,43917,2.549,0.6408046618148068,0.0
TIC 57830249,44480,44964,30558,4.165,0.08647648310903032,0.0
TIC 258382313,45169,45219,30380,1.108,0.3154626037473671,0.0
TIC 335370623,37584,37604,26049,1.488,0.19498517673246415,1.624390061229376e-283
TIC 134631370,14966,14966,14985,0.331,0.6123380292603536,1.7879099181343536e-161
TIC 369394619,41256,41329,28658,1.041,0.7412597316478325,4.2461590094e-313
TIC 166869904,44015,44043,30815,5.733,0.10735225817437265,0.0
TIC 186779497,38096,38406,26575,2.118,0.771972793641928,1.9232055078402265e-279
TIC 348555880,14256,14268,14347,10.963,0.05622338755592423,1.0049886959168643e-153
TIC 411128422,88051,88069,47529,1.595,0.029469293370076397,0.0
TIC 58825604,39361,39365,26534,7.249,0.0013789171680537958,2.52667836746809e-289
TIC 50745567,45837,45853,31764,0.264,0.45754056513082825,0.0
TIC 294993587,38808,38922,32921,3.908,0.6551227934089962,5.559724427217249e-292
TIC 447993848,37191,37314,26043,0.954,0.6347203742964763,7.576400359832332e-281
TIC 120334451,9395,9535,17221,5.318,0.7971622459372821,2.6926464223887426e-101
TIC 372515598,80872,81474,41147,1.632,0.6921098600902885,0.0
TIC 72987984,14841,14843,14875,0.934,0.06583348174428662,4.150377735199077e-160
TIC 46430860,45997,45997,31694,0.451,0.8269227472940543,0.0
TIC 461066586,96820,96846,49371,2.443,0.014072763439632076,0.0
TIC 197884260,227946,228349,76764,3.295,0.43789048986637324,0.0
TIC 251845153,31906,32224,33199,5.003,0.419397759794568,4.673716688881691e-195
TIC 462492721,159943,160190,64761,0.933,0.414041876855683,0.0
TIC 319739812,50743,50795,33901,0.889,0.43496944503579515,0.0
TIC 43149283,45929,45984,32092,9.884,0.2568760447927999,0.0
TIC 434100291,51214,51224,33073,14.266,0.0011018740212457845,0.0
TIC 143268184,45279,45293,29280,0.988,0.0435915224749703,0.0
TIC 410981161,11665,11669,11700,1.4,0.05005471759387738,7.003073574838463e-125
TIC 105710145,46627,46627,31036,0.42,0.8731769608130572,0.0
TIC 435801086,11672,11674,11701,13.239,0.002485841894397564,6.164958111446026e-125
TIC 443480340,35517,35602,30190,4.823,0.8921069048816974,2.8185512088820098e-266
TIC 250081915,10852,10888,11134,1.084,0.38770909770500617,3.2023715375014115e-116
TIC 269919096,16522,16527,16573,0.268,0.0010150187792754167,8.28937672358787e-179
TIC 266744225,34462,36559,33093,2.774,0.7036577384094879,4.328580020327619e-289
TIC 405089321,49263,49327,47521,4.695,0.637341618158833,2.347101992192459e-289
