loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
5542,823.01,158978373,PC,2459339.8317880,13.5337577,3.7353318,2235.4975539,6.6218742,9.9623000,201.8730000,6309.0000000,4.2352500,1.3003200
5543,824.01,193641523,CP,2459334.6982570,1.3929750,1.1608086,1684.6763291,3.0504133,10.0732000,63.9262000,4452.0000000,4.4990900,0.7296350
5544,825.01,220029715,KP,2459309.0736810,3.1853325,2.3645428,4887.9197145,5.8926120,12.4284000,240.7070000,4944.0000000,4.5024300,0.7819590
5545,826.01,243200602,KP,2459312.1959140,11.5502460,3.6666921,10389.1217072,10.8601251,10.4910000,172.2560000,5625.0000000,4.4909200,1.0592200
5546,827.01,270507305,APC,2459362.6562590,1.2283498,2.0010749,8079.6708505,18.0391950,11.5746000,336.9880000,5848.0000000,4.3323300,1.2740999
5547,828.01,271168962,KP,2458601.5796790,5.3221540,3.8875940,6558.4362280,13.3768460,9.4719900,200.0750000,6030.0000000,4.0943500,1.5300000
5548,829.01,276128561,PC,2459334.5312500,3.2877916,2.3400995,1779.1851978,4.2854014,10.5623000,142.4610000,5636.0000000,4.3723000,0.9488850
5549,830.01,281924357,PC,2459366.5604670,15.0405206,2.2703433,18041.7030335,23.3825652,10.9303000,222.9950000,5900.0000000,4.3630400,1.0431000
5550,831.01,307610438,APC,2458597.2679450,1.5617340,3.2376350,5700.8363120,14.5318050,8.8098000,86.0601000,5808.0000000,4.3397200,1.1447800
5551,832.01,350332997,FP,2459357.0795260,1.9160221,1.4050000,2430.0000000,10.8261000,11.7611000,586.7040000,5623.0000000,4.3748300,2.0900000
5552,833.01,362249359,PC,2458544.1199920,1.0418909,1.2065106,494.6961466,1.3524513,10.1461000,41.7148000,3965.0000000,4.6833700,0.6033360
5553,834.01,404340025,KP,2459335.4911050,2.6754948,3.2265912,14234.7488208,16.2422461,10.7036000,258.7770000,6783.0000000,4.2427100,1.3441499
5554,835.01,405700729,PC,2459338.2801540,4.7920082,1.2383742,2076.1746903,4.1979554,10.8490000,166.8340000,6012.0000000,4.7667500,0.8828280
5555,836.01,440887364,CP,2459356.1640230,8.5954792,2.4700000,1140.0000000,2.6403200,8.6486000,27.5024000,4476.0000000,4.5815600,0.6900000
5556,836.02,440887364,PC,2459355.7053420,3.8167262,1.6020000,580.0000000,1.6925700,8.6486000,27.5024000,4476.0000000,4.5815600,0.6900000
5557,837.01,460205581,CP,2459356.8140570,8.3249309,1.6470000,4360.0000000,7.5999100,9.9322000,142.4880000,6513.0000000,4.5369400,1.0100000
5558,838.01,461271719,FP,2459319.9124830,7.6246687,1.4020000,830.0000000,9.5220200,8.7823000,305.2370000,7313.0000000,4.1444300,2.6300000
5559,839.01,466840711,KP,2458571.5516420,2.4855806,3.0016362,19630.5671979,36.5091254,14.1491000,1627.6300000,6933.0000000,4.2508900,1.5994400
5560,840.01,287563610,KP,2459309.5624480,3.7995650,2.3288684,7552.0383791,8.4989031,13.0546000,488.1760000,5318.0000000,4.4368600,0.9734360
5561,841.01,238932509,PC,2459353.9726980,3.4934316,1.4530000,14230.0000000,11.4663000,12.5528000,306.0680000,5153.0000000,4.4689200,0.9000000
5562,842.01,141768070,PC,2459386.0269590,2.7863839,1.5850000,11850.0000000,11.6893000,12.6264000,368.8000000,5376.0000000,4.4249600,1.0000000
5563,843.01,437333618,KP,2459307.7025230,4.2986443,3.0407244,14799.0971321,13.8431909,12.4720000,471.1580000,5715.0000000,4.3434200,1.1185200
5564,844.01,380886535,FP,2459451.7240330,8.9066251,1.9618338,2178.8336338,7.1574108,11.7952000,472.2970000,5829.6000000,4.1000000,1.5159500
5565,845.01,32283946,FP,2458389.0024000,7.0618100,5.8530000,22745.5000000,24.7848000,11.7582000,475.3590000,5818.3000000,4.4000000,1.4900000
5566,846.01,229141709,FP,2458363.7629600,14.2048900,4.9240000,8761.5700000,12.4595000,11.7660000,446.8150000,6316.3000000,4.3000000,1.2100000
5567,847.01,231289421,PC,2459141.1076480,3.2063346,3.1220000,4410.0000000,20.2776000,12.0594000,659.7530000,5286.9000000,,2.2900000
5568,848.01,42015200,FP,2458391.6631800,9.7774200,6.7130000,6740.0000000,35.6978000,11.6818000,527.1140000,4513.0000000,,2.8700000
5569,849.01,33595516,CP,2458384.0195600,0.7656600,1.4520000,1410.0000000,3.5413900,11.5485000,225.7340000,5311.0000000,4.4700000,0.9200000
5570,850.01,423670610,APC,2458384.4092100,10.3210300,3.2830000,58957.4000000,34.1767000,11.3488000,342.2060000,5863.5000000,4.3800000,1.2800000
5571,851.01,40083958,PC,2459141.2405800,0.6296000,0.3090000,790.0000000,3.3915400,10.9994000,154.4770000,5485.0000000,4.6400000,0.7700000
5572,852.01,29918916,PC,2458387.1945000,4.9466474,3.3078190,2522.5069863,8.7623721,10.9495000,351.4260000,5574.0000000,3.9500000,1.7349600
5573,853.01,138727432,PC,2459139.8382760,6.8646554,4.7250000,5090.0000000,17.2900000,10.7598000,287.5580000,5937.0000000,4.1900000,1.3800000
5574,854.01,160222069,APC,2459135.8709070,5.8509430,2.6750000,1030.0000000,4.8000200,10.7170000,279.9600000,5928.0000000,4.1900000,1.3800000
5575,855.01,269558487,PC,2459140.7710680,1.8301278,1.0530000,1260.0000000,4.5258600,10.6541000,294.4180000,6671.0000000,4.4100000,1.2200000
5576,856.01,306338882,APC,2458387.3877800,5.4014000,1.4420000,1225.9900000,16.7216000,10.3244000,574.7120000,5179.9000000,,4.3400000
5577,857.01,404467699,KP,2459137.8308430,3.9080236,3.2920000,8100.0000000,15.1385000,10.2676000,286.4840000,6143.0000000,4.0800000,1.6300000
5578,858.01,198008005,PC,2459088.3121950,3.2797282,3.5187009,11048.1826083,13.8117581,10.6444000,250.4890000,5857.0000000,4.2400000,1.2974700
5579,859.01,150430484,PC,2459389.3645710,5.1543182,0.8900000,2430.0000000,9.8944100,11.9587000,193.0870000,4971.0000000,4.5900000,0.7600000
5580,860.01,321011127,PC,2459139.4449440,6.4535152,2.2020000,11200.0000000,19.7517000,11.6704000,494.0930000,5906.0000000,4.0700000,1.5800000
5581,861.01,372913430,FP,2459169.0530690,6.7391601,2.5370000,3040.0000000,30.8876000,8.3502000,422.3580000,10341.0000000,3.8000000,3.3900000
5582,862.01,309254930,PC,2459333.9856270,3.3102136,2.6948383,5078.5527569,,8.9904000,,,,
5583,863.01,238898571,PC,2458438.4578030,0.5251203,1.1416709,157.2232572,1.1595013,9.9547010,111.2790000,5867.0000000,4.5948000,0.8503020
5584,864.01,231728511,PC,2458411.1530780,0.5206687,0.5708161,626.6355136,1.0047438,11.4966000,38.0915000,3460.0000000,4.4380000,0.3986100
5585,865.01,44797824,APC,2458411.5862060,0.7455787,0.4901724,784.6891758,3.4024740,9.7976000,136.0220000,5181.0000000,4.1448600,1.1984400
5586,866.01,381976956,FA,2458330.8735390,22.3389160,3.4122330,605.5453890,18.4499770,9.0099000,455.0640000,4866.0000000,2.5064800,7.5682500
5587,867.01,358460246,PC,2458326.1846060,15.4043559,4.6196909,280.4049006,2.2181421,10.4283000,200.1200000,5777.3600000,4.3038800,1.2349900
5588,868.01,271596418,FP,2458325.7487710,0.5561090,1.0967080,172.8601890,1.6090490,10.7109000,230.6970000,5670.4500000,4.1664400,1.1832900
5589,869.01,200807066,FA,2458404.0811570,26.4771290,4.9304940,403.2435110,2.5256630,8.9043000,110.2470000,5908.0000000,4.2815300,1.2416900
