Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
4159547874823880000,276.1681,-7.7197,15.5,0.77,8.6,4.0,2.4,292.39766081871346,1
315978377440545000,24.4231,32.4366,16.6,0.46,23.1,8.7,4.0,185.87360594795538,1
4159530282636560000,275.6499,-7.8636,15.4,0.15,23.9,13.7,7.7,153.60983102918587,1
4159530759360840000,275.5899,-7.8546,14.6,1.0,3.0,0.6,0.3,328.9473684210526,1
4159534092259920000,276.0883,-7.9561,13.5,1.0,2.7,1.2,0.6,270.27027027027026,1
4159569620224830000,275.4141,-7.9543,15.0,0.16,12.6,41.0,3.3,280.8988764044944,1
3099296508730820000,103.5054,-6.9245,8.3,0.26,,,,281.69014084507046,1
3099314440211730000,103.4337,-6.7899,13.4,0.77,,,,280.8988764044944,1
5901994219673850000,228.4315,-50.7831,16.9,0.61,28.1,4.6,5.3,143.67816091954023,1
4159550138257650000,275.8173,-7.8623,12.2,0.95,,,,230.41474654377882,1
6163273194974250000,204.9288,-37.8769,15.9,0.13,29.1,36.9,10.0,167.50418760469012,1
3099314203996040000,103.3364,-6.7532,16.9,0.19,23.5,12.1,7.3,314.4654088050314,1
3099304892506480000,103.145,-6.9504,16.8,0.4,18.3,5.8,4.3,295.85798816568047,1
5363825334175310000,159.4856,-50.66,17.7,0.23,28.3,9.8,5.8,280.1120448179272,1
6601737262235520000,337.1784,-32.4714,16.3,0.16,26.7,33.6,8.9,214.13276231263384,1
3243694168209870000,57.9925,-6.2773,15.8,0.37,19.0,4.1,3.9,205.3388090349076,1
444081102806611000,56.1812,53.4915,16.7,0.47,15.7,4.8,4.0,260.4166666666667,1
444076563023116000,56.5289,53.575,13.1,0.22,6.4,2.6,2.1,289.01734104046244,1
444062960864765000,56.4715,53.3143,16.8,0.14,28.7,21.3,12.1,259.7402597402597,1
4911021431956420000,20.7442,-55.4115,16.5,0.19,22.1,12.7,5.0,314.4654088050314,1
444060280804961000,55.998,53.4647,16.9,0.63,16.5,4.4,5.8,232.55813953488374,1
1364275097192920000,269.3677,49.8391,17.7,0.15,35.9,24.4,9.8,276.24309392265195,1
853848504992048000,158.0621,56.4436,16.2,0.15,22.9,27.5,4.7,288.1844380403458,1
6445465087626050000,295.7912,-60.2829,13.4,0.27,27.2,24.9,9.2,56.14823133071309,1
2069941419383380000,309.2679,44.485,16.4,0.37,17.0,4.0,4.6,313.47962382445144,1
6740246732014250000,297.3883,-36.4183,16.7,0.24,20.7,4.5,5.3,272.47956403269757,1
6740355549305870000,297.5372,-36.0107,16.6,0.17,25.3,20.5,7.9,224.2152466367713,1
986321582918019000,110.3713,51.8757,16.4,0.27,26.5,8.6,7.7,176.05633802816902,1
986340068457206000,110.8349,52.1092,16.2,0.14,24.6,19.6,8.2,251.25628140703517,1
