TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_359139846,22.0,27.0,GDR2_5837888190620531072,181.3714,-76.0145,9.4,17.5,4.0,0.32,nan,nan,nan
TIC_125909238,-1.0,-1.0,GDR2_1760751735968904064,317.0262,15.9937,3.51,15.2,2.3,0.11,21.2,99.0,5.4
TIC_28903043,-1.0,-1.0,GDR2_252676847332999040,68.6868,44.0449,3.49,14.1,1.8,0.12,8.7,23.5,2.7
TIC_204231966,-1.0,-1.0,GDR2_4171418717746444672,271.1151,-6.4182,5.33,17.0,3.4,0.6,19.5,5.2,4.5
TIC_29080439,16.0,-1.0,GDR2_252663000358380800,69.029,44.0515,7.26,16.2,3.3,0.94,19.0,2.0,5.6
TIC_48119667,22.0,-1.0,GDR2_6203360942248429440,222.6397,-34.342,9.2,14.3,2.8,0.54,16.8,5.3,3.5
TIC_359638234,-1.0,-1.0,GDR2_5837913307589875840,184.2661,-75.6022,4.9,16.2,3.0,0.52,16.6,4.3,4.0
TIC_48224534,22.0,-1.0,GDR2_6203405025792921472,222.9819,-33.952,6.47,18.0,3.9,0.28,44.1,12.8,9.7
TIC_458938294,16.0,-1.0,GDR2_463006584139846144,48.7151,60.8368,6.29,14.9,2.7,0.83,15.2,5.3,3.5
TIC_332672101,22.0,-1.0,GDR2_5896254803323124352,215.9834,-53.6086,7.29,16.0,3.7,1.0,5.1,2.3,1.6
TIC_8214753,-1.0,-1.0,GDR2_4171467955253978624,268.7698,-8.2308,3.16,13.8,1.9,0.16,nan,nan,nan
TIC_204061706,-1.0,-1.0,GDR2_4171414457137824512,270.8132,-6.4992,3.41,13.7,1.9,0.28,7.8,4.4,1.3
TIC_152549293,22.0,-1.0,GDR2_5978743528577954816,259.169,-34.3885,7.39,16.8,3.4,0.3,34.8,13.1,11.3
TIC_152546618,22.0,-1.0,GDR2_5978754802890176768,259.1551,-34.1772,10.16,14.8,3.1,0.99,14.6,3.0,3.2
TIC_272279226,-1.0,-1.0,GDR2_2080580049080326784,296.2292,47.3274,3.04,17.6,3.1,0.23,24.1,6.8,6.6
TIC_279946607,-1.0,-1.0,GDR2_561737127674234496,39.9038,78.9561,4.44,16.4,2.9,0.27,22.1,11.6,5.7
TIC_252026413,-1.0,-1.0,GDR2_2011302402693166080,353.7006,59.312,4.51,16.4,3.1,0.84,13.9,2.8,3.6
TIC_345324572,-1.0,-1.0,GDR2_2011344115416078336,355.4766,59.8768,19.81,13.7,3.1,0.72,25.6,12.9,6.7
TIC_236154299,-1.0,-1.0,GDR2_1866056882310626816,313.4457,33.0729,8.97,13.0,2.3,0.26,16.4,4.5,3.4
TIC_194670570,-1.0,-1.0,GDR2_236157058784796288,51.3314,40.9533,4.29,7.2,-0.1,0.31,nan,nan,nan
TIC_419208247,-1.0,-1.0,GDR2_4205907545663289344,287.0341,-6.4394,4.02,11.5,1.4,0.99,nan,nan,nan
