TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_189796923,-1.0,-1.0,GDR2_961621294718627840,94.3186,42.8415,3.08,16.6,2.7,0.14,23.9,78.1,4.1
TIC_94277986,-1.0,-1.0,GDR2_219790145308536192,58.0092,35.855,5.75,16.3,3.1,0.66,19.8,4.8,3.6
TIC_26654649,-1.0,-1.0,GDR2_219792962807340672,57.9758,35.8426,3.06,17.2,3.0,0.23,20.1,6.0,4.5
TIC_94370375,15.0,1.0,GDR2_219748810543531008,58.441,35.6491,3.99,16.3,3.1,0.86,9.3,2.4,3.7
TIC_94454050,15.0,2.0,GDR2_219755751210562560,58.8532,35.8791,3.44,17.1,3.2,0.58,14.3,2.9,4.8
TIC_467825340,15.0,1.0,GDR2_219811585785201792,58.3954,36.0909,3.57,16.0,3.0,1.0,4.2,2.0,1.5
TIC_26438289,-1.0,-1.0,GDR2_219863572068354432,56.8822,35.4932,4.37,16.6,3.0,0.3,21.6,8.5,5.6
TIC_335380516,-1.0,-1.0,GDR2_3558426657240799104,170.0754,-17.9388,6.53,15.8,3.0,0.33,23.1,6.5,4.9
TIC_97710296,-1.0,-1.0,GDR2_3343603353853386880,90.2823,13.4184,8.92,16.1,3.2,0.19,38.1,17.0,7.4
TIC_21014415,22.0,-1.0,GDR2_6076396177076786304,186.7446,-53.6308,7.33,13.4,2.3,0.15,15.9,4.5,3.6
TIC_404739185,-1.0,-1.0,GDR2_77007084285637888,30.6868,13.5755,25.87,12.8,3.0,0.51,nan,nan,nan
TIC_361950747,-1.0,-1.0,GDR2_709183183145673856,126.5439,31.6193,3.3,16.2,2.6,0.26,18.9,10.6,2.9
TIC_172828423,-1.0,-1.0,GDR2_709079760333245184,126.3674,31.2568,3.25,16.9,2.9,0.14,27.6,18.1,7.3
TIC_400728658,-1.0,-1.0,GDR2_709192460275015424,126.7715,31.8314,4.54,15.5,2.6,0.12,25.6,28.2,6.6
TIC_61340366,6.0,-1.0,GDR2_2946830942156222848,99.4683,-16.7348,5.13,16.8,3.4,1.0,10.5,2.6,2.6
TIC_21194072,22.0,-1.0,GDR2_4111998841692217600,256.2708,-26.1904,8.59,14.8,3.1,1.0,10.3,2.7,2.9
TIC_148653963,22.0,-1.0,GDR2_6005567287273383296,230.8282,-41.2704,6.33,15.9,3.2,1.0,13.0,2.7,3.1
TIC_148554628,22.0,-1.0,GDR2_6005576117726258560,230.476,-41.2616,7.09,16.3,3.2,0.52,25.0,6.4,5.3
TIC_148598371,22.0,-1.0,GDR2_6005607896187485952,230.741,-41.0409,6.76,15.6,3.0,0.76,17.2,3.1,3.4
TIC_367758910,-1.0,-1.0,GDR2_2013193665778362752,344.0142,58.1959,4.08,7.0,-0.1,0.38,nan,nan,nan
TIC_453928153,14.0,-1.0,GDR2_5244706164260019072,153.8877,-67.6595,3.46,17.4,3.1,0.14,30.6,30.4,8.5
